,age,traj,r_goodness,r_quad,r_spray,gar,player,lag1,lag2,threeyr,fcode,include,d,true_gar,cumsum,gar_miss
1,18,-5.444444444,0.452580422,0.061891065,2.113476833,-2.816496125,a1,NA,NA,-2.816496125,NA,0,NA,-4.444444444,-2.816496125,NA
2,19,-4,0.452580422,0.045470987,-0.360294981,-3.862243573,a1,-2.816496125,NA,-3.339369849,1,0,-1.045747448,-3,-6.678739698,NA
3,20,-2.777777778,0.452580422,0.031577074,-1.456162089,-3.749782371,a1,-3.862243573,-2.816496125,-3.476174023,1,0,0.112461202,-1.777777778,-10.42852207,NA
4,21,-1.777777778,0.452580422,0.020209327,0.695915649,-0.60907238,a1,-3.749782371,-3.862243573,-2.740366108,1,0,3.140709991,-0.777777778,-11.03759445,-0.60907238
5,22,-1,0.452580422,0.011367747,0.109057113,-0.426994719,a1,-0.60907238,-3.749782371,-1.595283157,1,0,0.182077661,0,-11.46458917,NA
6,23,-0.444444444,0.452580422,0.005052332,-1.184115777,-1.170927468,a1,-0.426994719,-0.60907238,-0.735664856,1,0,-0.743932749,0.555555556,-12.63551664,NA
7,24,-0.111111111,0.452580422,0.001263083,-0.446322075,-0.103589681,a1,-1.170927468,-0.426994719,-0.567170623,1,0,1.067337787,0.888888889,-12.73910632,NA
8,25,0,0.452580422,0,-0.111402609,0.341177813,a1,-0.103589681,-1.170927468,-0.311113112,1,0,0.444767494,1,-12.3979285,NA
9,26,-0.112611111,0.452580422,0.001263083,0.096856833,0.438089226,a1,0.341177813,-0.103589681,0.225225786,1,0,0.096911414,0.887388889,-11.95983928,NA
10,27,-0.432444444,0.452580422,0.005052332,0.176963244,0.202151553,a1,0.438089226,0.341177813,0.327139531,1,0,-0.235937673,0.567555556,-11.75768773,NA
11,28,-0.9325,0.452580422,0.011367747,-0.2075978,-0.676149632,a1,0.202151553,0.438089226,-0.011969618,1,0,-0.878301186,0.0675,-12.43383736,NA
12,29,-1.585777778,0.452580422,0.020209327,0.473580546,-0.639407483,a1,-0.676149632,0.202151553,-0.371135187,1,0,0.036742149,-0.585777778,-13.07324484,NA
13,30,-2.365277778,0.452580422,0.031577074,1.16320695,-0.717913332,a1,-0.639407483,-0.676149632,-0.677823482,1,0,-0.078505849,-1.365277778,-13.79115817,NA
14,31,-3.244,0.452580422,0.045470987,-0.966613696,-3.712562288,a1,-0.717913332,-0.639407483,-1.689961034,1,0,-2.994648956,-2.244,-17.50372046,NA
15,32,-4.194944444,0.452580422,0.061891065,-0.269463435,-3.949936393,a1,-3.712562288,-0.717913332,-2.793470671,1,0,-0.237374105,-3.194944444,-21.45365685,NA
16,33,-5.191111111,0.452580422,0.08083731,0.491666492,-4.166026888,a1,-3.949936393,-3.712562288,-3.942841856,1,0,-0.216090495,-4.191111111,-25.61968374,NA
17,34,-6.2055,0.452580422,0.10230972,0.466502526,-5.184107332,a1,-4.166026888,-3.949936393,-4.433356871,1,0,-1.018080445,-5.2055,-30.80379107,NA
18,35,-7.211111111,0.452580422,0.126308296,-1.262991827,-7.895214221,a1,-5.184107332,-4.166026888,-5.74844948,1,0,-2.711106888,-6.211111111,-38.69900529,NA
19,36,-8.180944444,0.452580422,0.152833038,-0.474703444,-8.050234429,a1,-7.895214221,-5.184107332,-7.043185327,1,0,-0.155020208,-7.180944444,-46.74923972,NA
20,37,-9.088,0.452580422,0.181883946,-0.756969622,-9.210505254,a1,-8.050234429,-7.895214221,-8.385317968,1,0,-1.160270825,-8.088,-55.95974498,NA
21,38,-9.905277778,0.452580422,0.21346102,-1.282896185,-10.52213252,a1,-9.210505254,-8.050234429,-9.260957401,1,0,-1.311627267,-8.905277778,-66.4818775,NA
22,39,-10.60577778,0.452580422,0.24756426,1.216972927,-8.688660168,a1,-10.52213252,-9.210505254,-9.473765981,1,0,1.833472353,-9.605777778,-75.17053767,NA
23,40,-11.1625,0.452580422,0.284193666,0.481442552,-9.94428336,a1,-8.688660168,-10.52213252,-9.718358683,1,0,-1.255623192,-10.1625,-85.11482102,NA
24,18,-5.444444444,1.109063708,-0.229563318,-1.598754742,-6.163698797,a3,NA,NA,-6.163698797,NA,0,NA,-4.444444444,-3.231978621,NA
25,19,-4,1.109063708,-0.168658764,-1.049790107,-4.109385163,a3,-6.163698797,NA,-5.13654198,1,0,2.054313634,-3,-6.71709181,NA
26,20,-2.777777778,1.109063708,-0.117124142,-1.812176384,-3.598014595,a3,-4.109385163,-6.163698797,-4.623699518,1,0,0.511370568,-1.777777778,-7.705014414,-3.598014595
27,21,-1.777777778,1.109063708,-0.074959451,-0.021634822,-0.765308343,a3,-3.598014595,-4.109385163,-2.824236034,1,0,2.832706253,-0.777777778,-6.630638883,-0.765308343
28,22,-1,1.109063708,-0.042164691,1.312158735,1.379057752,a3,-0.765308343,-3.598014595,-0.994755062,1,0,2.144366094,0,-5.776740508,1.379057752
29,23,-0.444444444,1.109063708,-0.018739863,-0.021164421,0.62471498,a3,1.379057752,-0.765308343,0.412821463,1,0,-0.754342772,0.555555556,-6.599680934,0.62471498
30,24,-0.111111111,1.109063708,-0.004684966,0.375989706,1.369257337,a3,0.62471498,1.379057752,1.124343356,1,0,0.744542357,0.888888889,-5.632439667,1.369257337
31,25,0,1.109063708,0,-1.198402189,-0.089338481,a3,1.369257337,0.62471498,0.634877945,1,0,-1.458595818,1,-3.614515584,-0.089338481
32,26,-0.112611111,1.109063708,-0.004684966,0.485209687,1.476977318,a3,-0.089338481,1.369257337,0.918965391,1,0,1.566315799,0.887388889,-2.199393779,1.476977318
33,27,-0.432444444,1.109063708,-0.018739863,-1.217019789,-0.559140388,a3,1.476977318,-0.089338481,0.27616615,1,0,-2.036117706,0.567555556,-1.487487343,-0.559140388
34,28,-0.9325,1.109063708,-0.042164691,1.13661004,1.271009057,a3,-0.559140388,1.476977318,0.729615329,1,0,1.830149445,0.0675,-0.811442978,1.271009057
35,29,-1.585777778,1.109063708,-0.074959451,0.428316425,-0.123357096,a3,1.271009057,-0.559140388,0.196170524,1,0,-1.394366152,-0.585777778,-1.733436875,-0.123357096
36,30,-2.365277778,1.109063708,-0.117124142,0.076439992,-1.29689822,a3,-0.123357096,1.271009057,-0.049748753,1,0,-1.173541124,-1.365277778,-3.036194401,-1.29689822
37,31,-3.244,1.109063708,-0.168658764,-1.333685452,-3.637280508,a3,-1.29689822,-0.123357096,-1.685845274,1,0,-2.340382288,-2.244,-4.924408496,-3.637280508
38,32,-4.194944444,1.109063708,-0.229563318,0.237859509,-3.077584545,a3,-3.637280508,-1.29689822,-2.670587758,1,0,0.559695963,-3.194944444,-8.436099427,NA
39,33,-5.191111111,1.109063708,-0.299837803,1.147919134,-3.233966071,a3,-3.077584545,-3.637280508,-3.316277041,1,0,-0.156381526,-4.191111111,-11.55741082,NA
40,34,-6.2055,1.109063708,-0.379482219,0.555222575,-4.920695936,a3,-3.233966071,-3.077584545,-3.744082184,1,0,-1.686729864,-5.2055,-17.00013041,NA
41,35,-7.211111111,1.109063708,-0.468496566,0.751873042,-5.818670927,a3,-4.920695936,-3.233966071,-4.657777645,1,0,-0.897974992,-6.211111111,-23.98663974,NA
42,36,-8.180944444,1.109063708,-0.566880845,-0.5705043,-8.209265882,a3,-5.818670927,-4.920695936,-6.316210915,1,0,-2.390594955,-7.180944444,-30.41085019,NA
43,37,-9.088,1.109063708,-0.674635056,-0.097376617,-8.750947965,a3,-8.209265882,-5.818670927,-7.592961591,1,0,-0.541682083,-8.088,-37.15238374,NA
44,38,-9.905277778,1.109063708,-0.791759197,0.068784403,-9.519188864,a3,-8.750947965,-8.209265882,-8.82646757,1,0,-0.768240899,-8.905277778,-44.9105675,NA
45,39,-10.60577778,1.109063708,-0.91825327,0.324045021,-10.09092232,a3,-9.519188864,-8.750947965,-9.453686383,1,0,-0.571733455,-9.605777778,-53.62390786,NA
46,40,-11.1625,1.109063708,-1.054117275,-0.174975669,-11.28252924,a3,-10.09092232,-9.519188864,-10.29754681,1,0,-1.191606916,-10.1625,-61.84095102,NA
